Air Rotory Services (PTY) LTD  |  Prepared by:  Air Rotory Services (Pty) Ltd,,,,
Invoices for Sales Analysis Codes : 01/11/2025 - 30/11/2025,,,,
,,,,Total
Sales Analysis Code : AP001 - Anand Pillay,,,,
Period : 9,,,,
Column1,Column2,,,
Credit Note : IC100699  Customer : SNB001  SNB Chrome (Pty) Ltd,"-R71,230.00",,,
Credit Note : IC100700  Customer : KEN001  Kenra Holdings (Pty) Ltd,"-R4,420.00",,,
Credit Note : IC100701  Customer : CAS001  Cash Sales,"-R69,286.65",,,
Credit Note : IC100702  Customer : CAS001  Cash Sales,"-R12,002.02",,,
Credit Note : IC100703  Customer : CAS001  Cash Sales,"-R332,997.33",,,
Tax Invoice : IN116610  Customer : SAM011  Samancor Chrome Ltd div Ferrometals,"R759,315.25",,,
Tax Invoice : IN116612  Customer : CAS001  Cash Sales,"R3,328.52",,,
Tax Invoice : IN116613  Customer : ANG012  Modikwa Platinum Joint Venture,"R134,429.36",,,
Tax Invoice : IN116614  Customer : ANG012  Modikwa Platinum Joint Venture,"R134,429.36",,,
Tax Invoice : IN116615  Customer : CAS001  Cash Sales,"R190,000.00",,,
Tax Invoice : IN116618  Customer : SNB001  SNB Chrome (Pty) Ltd,"R69,300.00",,,
Tax Invoice : IN116619  Customer : SNB001  SNB Chrome (Pty) Ltd,"R1,930.00",,,
Tax Invoice : IN116620  Customer : CAS001  Cash Sales,"R9,664.80",,,
Tax Invoice : IN116621  Customer : SEA001  Sealed Air Africa (Pty) Ltd,"R475,484.97",,,
Tax Invoice : IN116622  Customer : GOL006  Golden Era Printers & Stationers Bops,"R58,640.98",,,
Tax Invoice : IN116623  Customer : MAN001  MAN Automotive (SA) (Pty) Ltd,"R75,295.00",,,
Tax Invoice : IN116624  Customer : CAS001  Cash Sales,"R9,094.45",,,
Tax Invoice : IN116625  Customer : BAR001  Barloworld Equipment (Pty) Ltd,"R6,705.00",,,
Tax Invoice : IN116626  Customer : GLO003  Global Wheel (Pty) Ltd,"R13,089.00",,,
Tax Invoice : IN116627  Customer : CAS001  Cash Sales,"R2,608.70",,,
Tax Invoice : IN116628  Customer : TWI001  Main Street 1310 Pty Ltd t/a Twinsaver,"R10,016.80",,,
Tax Invoice : IN116629  Customer : TWI001  Main Street 1310 Pty Ltd t/a Twinsaver,"R18,870.55",,,
Tax Invoice : IN116630  Customer : MAR001  Marula Platinum (Pty) Ltd,"R9,598.62",,,
Tax Invoice : IN116631  Customer : CAS001  Cash Sales,"R7,411.52",,,
Tax Invoice : IN116632  Customer : CAS001  Cash Sales,"R7,200.00",,,
Tax Invoice : IN116633  Customer : CAS001  Cash Sales,"R27,115.00",,,
Tax Invoice : IN116634  Customer : LIM001  Lime Distributors (Pty) Ltd,"R16,411.18",,,
Tax Invoice : IN116635  Customer : MAN001  MAN Automotive (SA) (Pty) Ltd,"R5,120.00",,,
Tax Invoice : IN116636  Customer : XST010  Rhovan Pooling & Sharing Venture,"R9,200.00",,,
Tax Invoice : IN116637  Customer : XST010  Rhovan Pooling & Sharing Venture,"R4,880.00",,,
Tax Invoice : IN116638  Customer : THA002  Tharisa Minerals Proprietary Limited,"R8,700.00",,,
Tax Invoice : IN116639  Customer : XST012  Glencore Merafe Venture,"R9,474.44",,,
Tax Invoice : IN116640  Customer : XST010  Rhovan Pooling & Sharing Venture,"R7,860.00",,,
Tax Invoice : IN116641  Customer : KHU001  Khulasonke Rebuild (Pty) Ltd,"R19,406.08",,,
Tax Invoice : IN116642  Customer : CAS001  Cash Sales,"R74,236.07",,,
Tax Invoice : IN116643  Customer : LIM001  Lime Distributors (Pty) Ltd,"R410,922.46",,,
Tax Invoice : IN116644  Customer : SAM002  Eastern Chrome Mines A Division of,"R92,400.00",,,
Tax Invoice : IN116645  Customer : SEA001  Sealed Air Africa (Pty) Ltd,"R601,650.00",,,
Tax Invoice : IN116646  Customer : CAS001  Cash Sales,"R13,970.00",,,
Tax Invoice : IN116647  Customer : CAS001  Cash Sales,"R356,371.00",,,
Tax Invoice : IN116648  Customer : PRE002  Premium Ideas,"R6,184.64",,,
Tax Invoice : IN116649  Customer : KLI001  Klinger (PTY) LTD,"R5,522.21",,,
Tax Invoice : IN116650  Customer : ISA001  Isando Foods (Pty) Ltd,"R3,015.00",,,
Tax Invoice : IN116651  Customer : SEA001  Sealed Air Africa (Pty) Ltd,"R22,820.73",,,
Tax Invoice : IN116652  Customer : CAL001  Calderys South Africa (Pty) Ltd,"R11,663.76",,,
Tax Invoice : IN116653  Customer : CAS001  Cash Sales,"R8,578.23",,,
Tax Invoice : IN116654  Customer : CAS001  Cash Sales,"R12,731.01",,,
Tax Invoice : IN116655  Customer : AMR001  Amrod Corporate Solutions (PTY) LTD,"R2,761.30",,,
