Invoice Number,Amount,Customer Code,Customer Name
IN116645,601650,SEA001,"Sealed Air Africa (Pty) Ltd"
IN116792,436714,GAY000,"Indabingi Sithole (Pty) Ltd t/a Gayatri"
IN116715,377342,GOL004,"New Era Labels (BOPS) PTY LTD"
IN116727,332997.33,CAS001,"Cash Sales"
IN116676,142495.9,NOR003,"Eland Platinum (Pty) Ltd"
IN116713,132478.96,AST001,"Astral Operations LTD t/a Goldi  a Div"
IN116738,115275.6,ENG002,"Engen Refinery A Division of Engen"
IN116789,110000,KIC001,"KIC SA (Pty) Ltd"
IN116672,76139.56,KHU001,"Khulasonke Rebuild (Pty) Ltd"
IN116729,69286.65,CAS001,"Cash Sales"
IN116801,66048.9,ING001,"Ingrain SA (Pty) Ltd"
IN116712,56083.5,BAR001,"Barloworld Equipment (Pty) Ltd"
IN116802,44010.44,ING001,"Ingrain SA (Pty) Ltd"
IN116803,43092.4,CAS001,"Cash Sales"
IN116711,35203.5,BAR001,"Barloworld Equipment (Pty) Ltd"
IN116793,33781.03,GAY001,"Gayatri Cans (Pty) Ltd"
IN116790,31984,UKH001,"Ukhuni Business Furniture (Pty) Ltd"
IN116794,26256.91,GAY001,"Gayatri Cans (Pty) Ltd"
IN116665,24851.4,SAP001,"Sappi Southern Africa Limited"
IN116730,22190,ING001,"Ingrain SA (Pty) Ltd"
IN116791,21490,UKH001,"Ukhuni Business Furniture (Pty) Ltd"
IN116740,20959.6,SPR001,"Spress Rentals (Pty) Ltd"
IN116728,12002.02,CAS001,"Cash Sales"
IN116757,11995.14,CAS001,"Cash Sales"
IN116788,10720.21,MAC004,"Machinery Contractors (Pty) Ltd"
